Stazione,IQA,PM10µg/m³,PM2.5µg/m³,NO2µg/m³,COmg/m³,SO2µg/m³,O3µg/m³,O3*µg/m³,C6H6µg/m³,CO2ppm,Date
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,6,--,--,92,89,0.1,--,2023-03-28
Francavilla Francavilla al mare (CH),Accettabile,11,4,44,--,--,90,85,0.3,--,2023-03-28
Gammarana Teramo (TE),Accettabile,--,5,48,--,--,--,--,--,--,2023-03-28
Montesilvano Montesilvano (PE),Accettabile,16,6,54,0.47,--,--,--,0.3,--,2023-03-28
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,8,0.29,--,99,98,0.1,--,2023-03-28
Porta Reale Teramo (TE),Accettabile,11,--,77,0.38,--,--,--,0.4,--,2023-03-28
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,8,--,--,88,85,0.3,--,2023-03-28
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,97,97,0.2,387.9,2023-03-28
Scuola Antonelli Chieti Scalo (CH),Accettabile,12,9,32,--,1,93,91,0.2,--,2023-03-28
T. D'Annunzio Pescara (PE),Accettabile,13,7,40,0.16,0,93,85,0.2,--,2023-03-28
Via Amiternum L'Aquila (AQ),Buona,6,5,23,--,3,n.d.,n.d.,0.2,--,2023-03-28
Via Firenze Pescara (PE),Buona,14,5,36,0.45,--,--,--,0.5,--,2023-03-28
Via Sacco Pescara (PE),Accettabile,13,--,48,--,--,92,86,--,--,2023-03-28
Arischia L'Aquila (AQ),Buona,--,--,4,--,--,72,69,0.2,--,2023-03-27
Atessa Atessa (CH),Buona,12,--,--,0.39,--,--,--,0.2,--,2023-03-27
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,14,9,16,0.44,--,94,88,--,--,2023-03-27
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,2,--,--,92,89,0.1,--,2023-03-27
Francavilla Francavilla al mare (CH),Accettabile,14,8,16,--,--,95,89,0.4,--,2023-03-27
Gammarana Teramo (TE),Buona,--,7,16,--,--,--,--,--,--,2023-03-27
Montesilvano Montesilvano (PE),Accettabile,19,12,59,0.51,--,--,--,0.5,--,2023-03-27
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,8,0.29,--,107,103,0.2,--,2023-03-27
Porta Reale Teramo (TE),Accettabile,14,--,52,0.34,--,--,--,0.4,--,2023-03-27
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,10,--,--,96,91,0.3,--,2023-03-27
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,104,102,0.2,388.0,2023-03-27
Scuola Antonelli Chieti Scalo (CH),Accettabile,9,5,21,--,0,96,92,0.2,--,2023-03-27
T. D'Annunzio Pescara (PE),Accettabile,26,18,38,0.34,0,96,90,0.3,--,2023-03-27
Via Amiternum L'Aquila (AQ),Buona,10,6,16,--,3,n.d.,n.d.,0.2,--,2023-03-27
Via Firenze Pescara (PE),Accettabile,19,11,43,0.64,--,--,--,0.6,--,2023-03-27
Via Sacco Pescara (PE),Accettabile,16,--,38,--,--,101,96,--,--,2023-03-27
Arischia L'Aquila (AQ),Buona,--,--,5,--,--,75,74,0.2,--,2023-03-26
Atessa Atessa (CH),Buona,17,--,--,0.47,--,--,--,0.3,--,2023-03-26
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,15,13,20,0.41,--,100,91,--,--,2023-03-26
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,8,--,--,98,94,0.2,--,2023-03-26
Francavilla Francavilla al mare (CH),Accettabile,17,13,21,--,--,105,96,0.5,--,2023-03-26
Gammarana Teramo (TE),Buona,--,10,31,--,--,--,--,--,--,2023-03-26
Montesilvano Montesilvano (PE),Accettabile,23,18,53,0.56,--,--,--,0.6,--,2023-03-26
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,6,0.36,--,117,111,0.2,--,2023-03-26
Porta Reale Teramo (TE),Accettabile,17,--,66,0.41,--,--,--,0.6,--,2023-03-26
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,6,--,--,100,97,0.3,--,2023-03-26
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,110,105,0.2,388.0,2023-03-26
Scuola Antonelli Chieti Scalo (CH),Accettabile,16,12,40,--,0,107,103,0.4,--,2023-03-26
T. D'Annunzio Pescara (PE),Accettabile,25,20,61,0.40,0,106,97,0.5,--,2023-03-26
Via Amiternum L'Aquila (AQ),Accettabile,9,7,18,--,3,106,104,0.1,--,2023-03-26
Via Firenze Pescara (PE),Accettabile,24,17,56,0.78,--,--,--,0.8,--,2023-03-26
Via Sacco Pescara (PE),Accettabile,21,--,77,--,--,107,101,--,--,2023-03-26
Arischia L'Aquila (AQ),Buona,--,--,6,--,--,73,71,0.2,--,2023-03-25
Atessa Atessa (CH),Accettabile,28,--,--,0.46,--,--,--,0.4,--,2023-03-25
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,19,15,21,0.56,--,97,86,--,--,2023-03-25
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,19,--,--,98,90,0.3,--,2023-03-25
Francavilla Francavilla al mare (CH),Accettabile,23,12,55,--,--,100,85,0.7,--,2023-03-25
Gammarana Teramo (TE),Accettabile,--,11,51,--,--,--,--,--,--,2023-03-25
Montesilvano Montesilvano (PE),Accettabile,24,18,73,0.51,--,--,--,0.6,--,2023-03-25
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,17,0.36,--,114,106,0.3,--,2023-03-25
Porta Reale Teramo (TE),Accettabile,14,--,70,0.47,--,--,--,0.7,--,2023-03-25
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,19,--,--,93,89,0.5,--,2023-03-25
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,4,--,--,106,101,0.2,385.2,2023-03-25
Scuola Antonelli Chieti Scalo (CH),Accettabile,21,14,73,--,1,98,92,0.7,--,2023-03-25
T. D'Annunzio Pescara (PE),Accettabile,24,19,55,0.43,0,100,88,0.7,--,2023-03-25
Via Amiternum L'Aquila (AQ),Accettabile,9,7,29,--,3,100,96,0.2,--,2023-03-25
Via Firenze Pescara (PE),Accettabile,27,19,62,0.73,--,--,--,1.1,--,2023-03-25
Via Sacco Pescara (PE),Accettabile,26,--,62,--,--,104,88,--,--,2023-03-25
Arischia L'Aquila (AQ),Buona,--,--,6,--,--,70,66,0.2,--,2023-03-24
Atessa Atessa (CH),Accettabile,23,--,--,0.47,--,--,--,0.2,--,2023-03-24
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,22,18,31,0.62,--,103,92,--,--,2023-03-24
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,13,--,--,93,86,0.3,--,2023-03-24
Francavilla Francavilla al mare (CH),Accettabile,19,15,34,--,--,93,n.d.,n.d.,--,2023-03-24
Gammarana Teramo (TE),Accettabile,--,8,44,--,--,--,--,--,--,2023-03-24
Montesilvano Montesilvano (PE),Accettabile,23,16,74,0.61,--,--,--,0.6,--,2023-03-24
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,15,0.45,--,106,101,0.3,--,2023-03-24
Porta Reale Teramo (TE),Accettabile,14,--,81,0.80,--,--,--,n.d.,--,2023-03-24
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,21,--,--,87,82,0.7,--,2023-03-24
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,99,95,0.2,396.3,2023-03-24
Scuola Antonelli Chieti Scalo (CH),Accettabile,22,17,55,--,0,96,90,0.8,--,2023-03-24
T. D'Annunzio Pescara (PE),Accettabile,25,19,66,0.56,0,97,84,0.8,--,2023-03-24
Via Amiternum L'Aquila (AQ),Accettabile,13,9,25,--,3,97,90,0.3,--,2023-03-24
Via Firenze Pescara (PE),Accettabile,24,16,69,0.81,--,--,--,1.2,--,2023-03-24
Via Sacco Pescara (PE),Accettabile,24,--,85,--,--,100,86,--,--,2023-03-24
Arischia L'Aquila (AQ),Buona,--,--,6,--,--,68,60,0.3,--,2023-03-23
Atessa Atessa (CH),Accettabile,21,--,--,0.47,--,--,--,0.3,--,2023-03-23
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,17,15,31,0.55,--,88,84,--,--,2023-03-23
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,18,--,--,90,86,0.3,--,2023-03-23
Francavilla Francavilla al mare (CH),Accettabile,19,16,28,--,--,100,87,0.7,--,2023-03-23
Gammarana Teramo (TE),Buona,--,10,40,--,--,--,--,--,--,2023-03-23
Montesilvano Montesilvano (PE),Accettabile,25,18,94,0.56,--,--,--,0.7,--,2023-03-23
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,54,0.44,--,109,103,0.6,--,2023-03-23
Porta Reale Teramo (TE),Accettabile,16,--,82,0.81,--,--,--,0.7,--,2023-03-23
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,18,--,--,83,77,0.9,--,2023-03-23
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,3,--,--,104,94,0.2,394.7,2023-03-23
Scuola Antonelli Chieti Scalo (CH),Mediocre,27,21,65,--,1,95,89,0.7,--,2023-03-23
T. D'Annunzio Pescara (PE),Accettabile,26,20,70,0.55,0,101,86,0.8,--,2023-03-23
Via Amiternum L'Aquila (AQ),Accettabile,13,11,30,--,3,94,84,0.4,--,2023-03-23
Via Firenze Pescara (PE),Accettabile,27,19,95,0.76,--,--,--,1.2,--,2023-03-23
Via Sacco Pescara (PE),Accettabile,23,--,82,--,--,104,94,--,--,2023-03-23
Arischia L'Aquila (AQ),Buona,--,--,5,--,--,61,49,0.4,--,2023-03-22
Atessa Atessa (CH),Buona,17,--,--,0.49,--,--,--,0.4,--,2023-03-22
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,11,10,21,0.52,--,85,82,--,--,2023-03-22
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,12,--,--,85,76,0.3,--,2023-03-22
Francavilla Francavilla al mare (CH),Accettabile,16,11,37,--,--,91,81,0.5,--,2023-03-22
Gammarana Teramo (TE),Accettabile,--,12,36,--,--,--,--,--,--,2023-03-22
Montesilvano Montesilvano (PE),Accettabile,21,14,75,0.51,--,--,--,0.5,--,2023-03-22
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,12,0.41,--,97,90,0.5,--,2023-03-22
Porta Reale Teramo (TE),Accettabile,15,--,63,0.82,--,--,--,0.8,--,2023-03-22
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,15,--,--,84,81,0.5,--,2023-03-22
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,4,--,--,103,102,0.4,391.0,2023-03-22
Scuola Antonelli Chieti Scalo (CH),Accettabile,24,20,47,--,0,93,78,0.6,--,2023-03-22
T. D'Annunzio Pescara (PE),Accettabile,18,13,63,0.38,0,93,81,0.6,--,2023-03-22
Via Amiternum L'Aquila (AQ),Accettabile,12,10,27,--,3,94,88,0.3,--,2023-03-22
Via Firenze Pescara (PE),Accettabile,21,14,73,0.64,--,--,--,0.8,--,2023-03-22
Via Sacco Pescara (PE),Accettabile,18,--,55,--,--,94,85,--,--,2023-03-22
Arischia L'Aquila (AQ),Buona,--,--,8,--,--,40,34,0.5,--,2023-03-21
Atessa Atessa (CH),Accettabile,33,--,--,0.55,--,--,--,0.6,--,2023-03-21
Castel Di Sangro Castel Di Sangro (AQ),Mediocre,23,21,23,n.d.,--,79,n.d.,--,--,2023-03-21
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,16,--,--,98,83,0.7,--,2023-03-21
Francavilla Francavilla al mare (CH),Accettabile,24,20,34,--,--,97,80,1.2,--,2023-03-21
Gammarana Teramo (TE),Accettabile,--,12,39,--,--,--,--,--,--,2023-03-21
Montesilvano Montesilvano (PE),Accettabile,27,19,42,0.62,--,--,--,0.7,--,2023-03-21
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,30,0.54,--,107,99,1.0,--,2023-03-21
Porta Reale Teramo (TE),Accettabile,24,--,77,0.82,--,--,--,0.9,--,2023-03-21
S. Gregorio S. GREGORIO (AQ),Buona,--,--,33,--,--,n.d.,n.d.,0.9,--,2023-03-21
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,9,--,--,99,94,0.6,395.1,2023-03-21
Scuola Antonelli Chieti Scalo (CH),Scadente,38,33,49,--,1,105,88,1.2,--,2023-03-21
T. D'Annunzio Pescara (PE),Mediocre,30,24,58,0.69,0,95,81,1.1,--,2023-03-21
Via Amiternum L'Aquila (AQ),Accettabile,14,10,36,--,3,83,71,0.5,--,2023-03-21
Via Firenze Pescara (PE),Mediocre,30,24,59,0.77,--,--,--,1.3,--,2023-03-21
Via Sacco Pescara (PE),Accettabile,33,--,46,--,--,93,83,--,--,2023-03-21
Arischia L'Aquila (AQ),Buona,--,--,9,--,--,56,48,0.5,--,2023-03-20
Atessa Atessa (CH),Accettabile,22,--,--,0.51,--,--,--,0.5,--,2023-03-20
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,23,18,37,0.59,--,94,88,--,--,2023-03-20
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,17,--,--,91,85,0.7,--,2023-03-20
Francavilla Francavilla al mare (CH),Accettabile,22,7,27,--,--,92,82,1.0,--,2023-03-20
Gammarana Teramo (TE),Accettabile,--,17,43,--,--,--,--,--,--,2023-03-20
Montesilvano Montesilvano (PE),Mediocre,26,21,78,0.62,--,--,--,1.0,--,2023-03-20
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,34,0.53,--,108,99,1.0,--,2023-03-20
Porta Reale Teramo (TE),Accettabile,27,--,81,0.78,--,--,--,1.0,--,2023-03-20
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,22,--,--,95,86,1.0,--,2023-03-20
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,5,--,--,105,101,0.5,398.4,2023-03-20
Scuola Antonelli Chieti Scalo (CH),Scadente,35,30,58,--,1,91,82,1.2,--,2023-03-20
T. D'Annunzio Pescara (PE),Scadente,31,26,65,0.70,0,90,80,1.3,--,2023-03-20
Via Amiternum L'Aquila (AQ),Accettabile,17,12,32,--,3,101,94,0.5,--,2023-03-20
Via Firenze Pescara (PE),Mediocre,30,24,79,0.71,--,--,--,1.6,--,2023-03-20
Via Sacco Pescara (PE),Accettabile,32,--,72,--,--,100,90,--,--,2023-03-20
Arischia L'Aquila (AQ),Buona,--,--,9,--,--,71,60,0.4,--,2023-03-19
Atessa Atessa (CH),Buona,19,--,--,0.48,--,--,--,0.3,--,2023-03-19
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,20,17,43,0.53,--,114,100,--,--,2023-03-19
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,9,--,--,91,87,0.4,--,2023-03-19
Francavilla Francavilla al mare (CH),Accettabile,15,14,27,--,--,96,89,0.9,--,2023-03-19
Gammarana Teramo (TE),Accettabile,--,15,44,--,--,--,--,--,--,2023-03-19
Montesilvano Montesilvano (PE),Accettabile,19,15,77,0.56,--,--,--,0.8,--,2023-03-19
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,30,0.39,--,102,98,0.6,--,2023-03-19
Porta Reale Teramo (TE),Accettabile,28,--,80,0.76,--,--,--,1.0,--,2023-03-19
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,18,--,--,98,90,1.0,--,2023-03-19
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,4,--,--,113,105,0.3,399.5,2023-03-19
Scuola Antonelli Chieti Scalo (CH),Mediocre,28,23,61,--,1,93,82,1.2,--,2023-03-19
T. D'Annunzio Pescara (PE),Accettabile,23,18,68,0.58,0,98,91,1.1,--,2023-03-19
Via Amiternum L'Aquila (AQ),Accettabile,17,13,36,--,3,112,103,0.6,--,2023-03-19
Via Firenze Pescara (PE),Accettabile,22,17,79,0.59,--,--,--,1.5,--,2023-03-19
Via Sacco Pescara (PE),Accettabile,23,--,79,--,--,102,96,--,--,2023-03-19
Arischia L'Aquila (AQ),Buona,--,--,8,--,--,58,51,0.4,--,2023-03-18
Atessa Atessa (CH),Buona,16,--,--,0.44,--,--,--,0.3,--,2023-03-18
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,10,9,43,0.43,--,86,83,--,--,2023-03-18
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,16,--,--,88,85,0.4,--,2023-03-18
Francavilla Francavilla al mare (CH),Accettabile,12,8,34,--,--,92,86,0.6,--,2023-03-18
Gammarana Teramo (TE),Accettabile,--,11,42,--,--,--,--,--,--,2023-03-18
Montesilvano Montesilvano (PE),Accettabile,17,11,73,0.49,--,--,--,0.7,--,2023-03-18
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,12,0.27,--,100,94,0.5,--,2023-03-18
Porta Reale Teramo (TE),Accettabile,21,--,85,0.73,--,--,--,n.d.,--,2023-03-18
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,22,--,--,90,82,0.8,--,2023-03-18
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,101,96,0.3,401.1,2023-03-18
Scuola Antonelli Chieti Scalo (CH),Accettabile,19,15,62,--,1,90,87,0.8,--,2023-03-18
T. D'Annunzio Pescara (PE),Accettabile,15,11,64,0.40,0,92,86,0.6,--,2023-03-18
Via Amiternum L'Aquila (AQ),Accettabile,12,8,48,--,3,98,90,0.4,--,2023-03-18
Via Firenze Pescara (PE),Accettabile,16,10,68,0.50,--,--,--,1.1,--,2023-03-18
Via Sacco Pescara (PE),Accettabile,18,--,69,--,--,97,92,--,--,2023-03-18
Arischia L'Aquila (AQ),Accettabile,--,--,3,--,--,81,69,0.3,--,2023-03-17
Atessa Atessa (CH),Buona,12,--,--,0.38,--,--,--,0.2,--,2023-03-17
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,7,5,14,0.25,--,91,86,--,--,2023-03-17
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,8,--,--,89,86,0.2,--,2023-03-17
Francavilla Francavilla al mare (CH),Accettabile,17,6,28,--,--,87,84,0.3,--,2023-03-17
Gammarana Teramo (TE),Buona,--,8,27,--,--,--,--,--,--,2023-03-17
Montesilvano Montesilvano (PE),Accettabile,16,6,43,0.32,--,--,--,0.3,--,2023-03-17
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,10,0.40,--,96,92,0.4,--,2023-03-17
Porta Reale Teramo (TE),Accettabile,14,--,72,0.60,--,--,--,0.6,--,2023-03-17
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,8,--,--,91,89,0.5,--,2023-03-17
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,97,92,0.3,390.4,2023-03-17
Scuola Antonelli Chieti Scalo (CH),Accettabile,20,16,43,--,1,89,84,0.7,--,2023-03-17
T. D'Annunzio Pescara (PE),Accettabile,22,7,54,0.26,0,96,94,0.3,--,2023-03-17
Via Amiternum L'Aquila (AQ),Accettabile,7,5,37,--,3,96,93,0.2,--,2023-03-17
Via Firenze Pescara (PE),Buona,19,6,37,0.31,--,--,--,0.7,--,2023-03-17
Via Sacco Pescara (PE),Accettabile,15,--,44,--,--,90,87,--,--,2023-03-17
Arischia L'Aquila (AQ),Buona,--,--,6,--,--,73,66,0.3,--,2023-03-16
Atessa Atessa (CH),Buona,8,--,--,0.32,--,--,--,0.2,--,2023-03-16
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,5,4,n.d.,0.86,--,81,77,--,--,2023-03-16
Cepagatti ASL Cepagatti (PE),Buona,--,--,6,--,--,78,70,0.2,--,2023-03-16
Francavilla Francavilla al mare (CH),Buona,n.d.,n.d.,17,--,--,78,72,0.2,--,2023-03-16
Gammarana Teramo (TE),Buona,--,7,13,--,--,--,--,--,--,2023-03-16
Montesilvano Montesilvano (PE),Accettabile,15,6,43,0.31,--,--,--,0.3,--,2023-03-16
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,7,0.39,--,89,87,0.3,--,2023-03-16
Porta Reale Teramo (TE),Accettabile,14,--,54,0.55,--,--,--,0.5,--,2023-03-16
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,13,--,--,87,80,0.4,--,2023-03-16
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,84,80,0.3,390.7,2023-03-16
Scuola Antonelli Chieti Scalo (CH),Accettabile,15,10,42,--,0,83,72,0.4,--,2023-03-16
T. D'Annunzio Pescara (PE),Buona,13,4,25,0.19,0,80,74,0.2,--,2023-03-16
Via Amiternum L'Aquila (AQ),Accettabile,5,4,34,--,3,90,85,0.2,--,2023-03-16
Via Firenze Pescara (PE),Buona,15,4,19,0.37,--,--,--,0.4,--,2023-03-16
Via Sacco Pescara (PE),Buona,12,--,21,--,--,79,74,--,--,2023-03-16
Arischia L'Aquila (AQ),Buona,--,--,4,--,--,61,51,0.2,--,2023-03-15
Atessa Atessa (CH),Buona,20,--,--,0.44,--,--,--,0.3,--,2023-03-15
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,13,8,n.d.,0.88,--,90,86,--,--,2023-03-15
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,7,--,--,90,86,0.1,--,2023-03-15
Francavilla Francavilla al mare (CH),Accettabile,n.d.,n.d.,20,--,--,84,79,0.3,--,2023-03-15
Gammarana Teramo (TE),Accettabile,--,8,49,--,--,--,--,--,--,2023-03-15
Montesilvano Montesilvano (PE),Accettabile,20,13,50,0.49,--,--,--,0.4,--,2023-03-15
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,15,0.49,--,95,89,0.3,--,2023-03-15
Porta Reale Teramo (TE),Accettabile,16,--,83,0.76,--,--,--,0.5,--,2023-03-15
S. Gregorio S. GREGORIO (AQ),Buona,--,--,27,--,--,79,75,0.6,--,2023-03-15
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,99,96,0.2,388.5,2023-03-15
Scuola Antonelli Chieti Scalo (CH),Accettabile,16,12,14,--,1,90,82,0.2,--,2023-03-15
T. D'Annunzio Pescara (PE),Accettabile,22,13,47,0.49,0,96,88,0.2,--,2023-03-15
Via Amiternum L'Aquila (AQ),Accettabile,10,5,50,--,3,92,83,0.2,--,2023-03-15
Via Firenze Pescara (PE),Buona,17,9,38,0.91,--,--,--,0.6,--,2023-03-15
Via Sacco Pescara (PE),Accettabile,17,--,35,--,--,92,87,--,--,2023-03-15
Arischia L'Aquila (AQ),Buona,--,--,4,--,--,n.d.,n.d.,0.3,--,2023-03-14
Atessa Atessa (CH),Buona,19,--,--,0.43,--,--,--,0.3,--,2023-03-14
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,13,10,n.d.,0.91,--,98,84,--,--,2023-03-14
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,16,--,--,86,67,0.3,--,2023-03-14
Francavilla Francavilla al mare (CH),Accettabile,15,11,34,--,--,77,71,0.7,--,2023-03-14
Gammarana Teramo (TE),Accettabile,--,12,42,--,--,--,--,--,--,2023-03-14
Montesilvano Montesilvano (PE),Accettabile,17,12,68,0.52,--,--,--,0.7,--,2023-03-14
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,22,0.55,--,89,80,0.6,--,2023-03-14
Porta Reale Teramo (TE),Accettabile,20,--,85,0.81,--,--,--,0.9,--,2023-03-14
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,17,--,--,83,78,0.7,--,2023-03-14
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,97,95,0.2,391.8,2023-03-14
Scuola Antonelli Chieti Scalo (CH),Accettabile,21,16,55,--,1,97,46,0.9,--,2023-03-14
T. D'Annunzio Pescara (PE),Accettabile,20,13,66,0.56,0,81,71,0.7,--,2023-03-14
Via Amiternum L'Aquila (AQ),Accettabile,10,7,66,--,3,92,83,0.4,--,2023-03-14
Via Firenze Pescara (PE),Accettabile,21,13,78,0.83,--,--,--,1.4,--,2023-03-14
Via Sacco Pescara (PE),Accettabile,23,--,67,--,--,84,73,--,--,2023-03-14
Arischia L'Aquila (AQ),Buona,--,--,6,--,--,58,54,0.3,--,2023-03-13
Atessa Atessa (CH),Buona,15,--,--,0.45,--,--,--,0.4,--,2023-03-13
Castel Di Sangro Castel Di Sangro (AQ),Buona,11,8,n.d.,0.89,--,72,69,--,--,2023-03-13
Cepagatti ASL Cepagatti (PE),Buona,--,--,13,--,--,69,60,0.4,--,2023-03-13
Francavilla Francavilla al mare (CH),Accettabile,17,11,20,--,--,74,69,0.6,--,2023-03-13
Gammarana Teramo (TE),Buona,--,9,27,--,--,--,--,--,--,2023-03-13
Montesilvano Montesilvano (PE),Accettabile,20,11,62,0.47,--,--,--,0.7,--,2023-03-13
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,34,0.55,--,85,80,1.0,--,2023-03-13
Porta Reale Teramo (TE),Accettabile,16,--,56,0.71,--,--,--,0.8,--,2023-03-13
S. Gregorio S. GREGORIO (AQ),Buona,--,--,9,--,--,68,65,0.5,--,2023-03-13
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Buona,--,--,2,--,--,72,69,0.3,395.9,2023-03-13
Scuola Antonelli Chieti Scalo (CH),Mediocre,28,22,35,--,0,70,55,0.8,--,2023-03-13
T. D'Annunzio Pescara (PE),Accettabile,23,13,51,0.58,0,72,66,0.6,--,2023-03-13
Via Amiternum L'Aquila (AQ),Buona,7,4,30,--,3,78,72,0.3,--,2023-03-13
Via Firenze Pescara (PE),Accettabile,24,14,50,0.73,--,--,--,1.1,--,2023-03-13
Via Sacco Pescara (PE),Accettabile,26,--,49,--,--,79,70,--,--,2023-03-13
Arischia L'Aquila (AQ),Buona,--,--,8,--,--,39,36,0.3,--,2023-03-12
Atessa Atessa (CH),Buona,18,--,--,0.44,--,--,--,0.3,--,2023-03-12
Castel Di Sangro Castel Di Sangro (AQ),Buona,11,6,n.d.,0.78,--,76,69,--,--,2023-03-12
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,8,--,--,88,85,0.2,--,2023-03-12
Francavilla Francavilla al mare (CH),Accettabile,15,8,27,--,--,89,85,0.4,--,2023-03-12
Gammarana Teramo (TE),Accettabile,--,8,43,--,--,--,--,--,--,2023-03-12
Montesilvano Montesilvano (PE),Accettabile,18,9,58,0.38,--,--,--,0.5,--,2023-03-12
Ortona Villa Caldari Ortona (CH),Accettabile,n.d.,n.d.,16,0.45,--,100,99,0.4,--,2023-03-12
Porta Reale Teramo (TE),Accettabile,18,--,81,0.65,--,--,--,0.7,--,2023-03-12
S. Gregorio S. GREGORIO (AQ),Buona,--,--,9,--,--,73,67,0.3,--,2023-03-12
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,99,95,0.2,389.5,2023-03-12
Scuola Antonelli Chieti Scalo (CH),Accettabile,20,14,50,--,1,87,85,0.6,--,2023-03-12
T. D'Annunzio Pescara (PE),Accettabile,18,8,64,0.39,0,90,88,0.3,--,2023-03-12
Via Amiternum L'Aquila (AQ),Buona,11,6,38,--,3,73,69,0.2,--,2023-03-12
Via Firenze Pescara (PE),Accettabile,20,9,73,0.65,--,--,--,0.8,--,2023-03-12
